Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23,Theta24,Theta25,Theta26,Theta27,Theta28,Theta29,Theta30,Theta31,Theta32,Theta33,Theta34,Theta35,Theta36,Theta37,Theta38,Theta39,Theta40,Theta41,Theta42,Theta43,Theta44,Theta45,Theta46,Theta47,Theta48,Theta49,Theta50,Theta51,Theta52,Theta53,Theta54,Theta55,Theta56,Theta57,Theta58,Theta59,Theta60,Theta61,Theta62,Theta63,Theta64,Theta65,Theta66,Theta67,Theta68,Theta69,Theta70
-87.158,-87.145,-87.132,-87.120,-87.110,-87.100,-87.093,-87.086,-87.082,-87.079,-87.078,-87.079,-87.081,-87.086,-87.092,-87.100,-87.109,-87.119,-87.131,-87.144,-87.157,-87.171,-87.186,-87.200,-87.215,-87.229,-87.243,-87.256,-87.269,-87.280,-87.291,-87.301,-87.309,-87.316,-87.322,-87.326,-87.328,-87.330,-87.329,-87.327,-87.324,-87.319,-87.312,-87.305,-87.296,-87.286,-87.274,-87.262,-87.249,-87.235,-87.221,-87.207,-87.192,-87.178,-87.164,-87.150,-87.137,-87.125,-87.114,-87.104,-87.095,-87.088,-87.083,-87.080,-87.078,-87.078,-87.080,-87.084,-87.089,-87.097
-88.226,-88.227,-88.229,-88.231,-88.233,-88.236,-88.239,-88.243,-88.247,-88.251,-88.255,-88.259,-88.263,-88.267,-88.271,-88.275,-88.278,-88.281,-88.283,-88.285,-88.286,-88.287,-88.288,-88.288,-88.287,-88.286,-88.284,-88.282,-88.279,-88.276,-88.273,-88.269,-88.265,-88.261,-88.257,-88.253,-88.249,-88.245,-88.241,-88.238,-88.235,-88.232,-88.230,-88.228,-88.227,-88.226,-88.226,-88.226,-88.228,-88.229,-88.231,-88.234,-88.237,-88.240,-88.244,-88.248,-88.252,-88.256,-88.260,-88.264,-88.268,-88.272,-88.275,-88.279,-88.281,-88.284,-88.285,-88.287,-88.288,-88.288
10.656,10.160,9.558,8.862,8.089,7.253,6.374,5.472,4.568,3.681,2.833,2.043,1.330,0.710,0.197,-0.197,-0.464,-0.596,-0.593,-0.452,-0.178,0.223,0.743,1.369,2.087,2.880,3.731,4.619,5.524,6.425,7.302,8.134,8.904,9.595,10.191,10.681,11.054,11.303,11.423,11.411,11.268,10.997,10.603,10.094,9.480,8.775,7.993,7.151,6.269,5.365,4.462,3.578,2.736,1.955,1.252,0.644,0.144,-0.236,-0.486,-0.603,-0.583,-0.427,-0.137,0.279,0.811,1.449,2.177,2.978,3.834,4.726
34.418,34.422,34.424,34.424,34.422,34.418,34.412,34.405,34.395,34.384,34.371,34.356,34.339,34.320,34.299,34.277,34.252,34.226,34.198,34.168,34.136,34.103,34.067,34.030,33.991,33.950,33.908,33.863,33.817,33.769,33.719,33.668,33.615,33.560,33.503,33.445,33.385,33.323,33.259,33.194,33.128,33.059,32.989,32.918,32.845,32.770,32.694,32.616,32.537,32.456,32.374,32.291,32.206,32.119,32.031,31.942,31.851,31.760,31.666,31.572,31.476,31.379,31.281,31.181,31.081,30.979,30.876,30.773,30.668,30.562
41.513,41.376,41.191,40.958,40.677,40.348,39.972,39.548,39.077,38.560,37.997,37.388,36.735,36.039,35.301,34.524,33.708,32.857,31.974,31.061,30.121,29.160,28.181,27.188,26.188,25.184,24.184,23.192,22.215,21.259,20.329,19.433,18.575,17.762,16.999,16.291,15.643,15.060,14.544,14.101,13.732,13.440,13.227,13.095,13.044,13.074,13.186,13.379,13.651,14.001,14.426,14.924,15.491,16.123,16.816,17.566,18.367,19.214,20.102,21.023,21.973,22.946,23.934,24.933,25.936,26.938,27.933,28.916,29.882,30.828
-23.634,-22.728,-21.917,-21.221,-20.660,-20.250,-20.002,-19.924,-20.018,-20.281,-20.705,-21.279,-21.986,-22.807,-23.720,-24.700,-25.723,-26.763,-27.796,-28.799,-29.751,-30.633,-31.429,-32.126,-32.712,-33.178,-33.519,-33.728,-33.805,-33.747,-33.556,-33.233,-32.784,-32.215,-31.533,-30.750,-29.879,-28.936,-27.939,-26.909,-25.868,-24.841,-23.854,-22.930,-22.094,-21.370,-20.776,-20.330,-20.045,-19.927,-19.981,-20.205,-20.593,-21.134,-21.812,-22.609,-23.503,-24.470,-25.485,-26.523,-27.560,-28.572,-29.537,-30.437,-31.254,-31.975,-32.587,-33.082,-33.452,-33.692
-73.549,-73.547,-73.545,-73.543,-73.541,-73.538,-73.536,-73.534,-73.532,-73.529,-73.527,-73.525,-73.522,-73.520,-73.518,-73.515,-73.513,-73.510,-73.508,-73.505,-73.502,-73.500,-73.497,-73.494,-73.492,-73.489,-73.486,-73.484,-73.481,-73.478,-73.475,-73.472,-73.470,-73.467,-73.464,-73.461,-73.458,-73.455,-73.452,-73.449,-73.446,-73.443,-73.440,-73.437,-73.434,-73.431,-73.428,-73.425,-73.422,-73.419,-73.416,-73.412,-73.409,-73.406,-73.403,-73.400,-73.397,-73.393,-73.390,-73.387,-73.384,-73.381,-73.378,-73.374,-73.371,-73.368,-73.365,-73.361,-73.358,-73.355
13.387,14.253,15.103,15.935,16.747,17.538,18.305,19.048,19.765,20.456,21.118,21.750,22.354,22.926,23.467,23.976,24.453,24.897,25.307,25.684,26.028,26.337,26.613,26.854,27.060,27.233,27.370,27.473,27.542,27.576,27.575,27.539,27.469,27.364,27.225,27.051,26.843,26.600,26.323,26.012,25.667,25.288,24.876,24.430,23.952,23.441,22.899,22.325,21.720,21.086,20.423,19.731,19.013,18.268,17.500,16.708,15.895,15.062,14.211,13.344,12.463,11.571,10.668,9.759,8.844,7.927,7.011,6.097,5.188,4.287
32.896,32.212,31.480,30.704,29.886,29.029,28.138,27.217,26.271,25.306,24.328,23.342,22.355,21.375,20.409,19.463,18.544,17.661,16.820,16.028,15.290,14.614,14.004,13.466,13.004,12.621,12.321,12.105,11.977,11.936,11.983,12.118,12.339,12.645,13.034,13.502,14.045,14.660,15.341,16.082,16.878,17.723,18.608,19.529,20.477,21.444,22.425,23.412,24.397,25.375,26.339,27.283,28.202,29.091,29.945,30.760,31.534,32.262,32.942,33.572,34.151,34.675,35.145,35.559,35.915,36.215,36.456,36.639,36.763,36.829
-17.612,-18.555,-19.480,-20.377,-21.238,-22.055,-22.821,-23.530,-24.177,-24.757,-25.266,-25.700,-26.057,-26.334,-26.531,-26.645,-26.676,-26.624,-26.490,-26.273,-25.976,-25.600,-25.147,-24.620,-24.023,-23.360,-22.636,-21.856,-21.028,-20.157,-19.253,-18.323,-17.376,-16.423,-15.474,-14.538,-13.627,-12.749,-11.917,-11.138,-10.422,-9.777,-9.212,-8.731,-8.341,-8.047,-7.851,-7.756,-7.762,-7.871,-8.081,-8.388,-8.791,-9.283,-9.860,-10.514,-11.239,-12.026,-12.865,-13.748,-14.663,-15.601,-16.552,-17.504,-18.449,-19.376,-20.277,-21.142,-21.964,-22.737
